"ISO","VA","FD"
"AFG",17709933.976681,20080859.0505097
"ALB",11407644.60103,20622366.3202222
"DZA",230734017.864168,225179813.019544
"AND",3053900.007389,4283013.38353258
"AGO",123399198.37706,113003306.368066
"ATG",1101877.6434081,1723600.6823969
"ARG",468442772.424195,526609256.215673
"ARM",9733217.374023,11399035.8032145
"ABW",2425373.0888788,3542555.15883527
"AUS",1252125993.63452,1322783624.6979
"AUT",418144857.09242,439665274.129814
"AZE",55608909.85762,56915559.6749018
"BHS",8057784.8595354,11007407.3986469
"BHR",27209690.4165665,28398149.0679439
"BGD",150112594.666392,159696238.519085
"BRB",3807944.3304243,6115762.60364106
"BLR",19251179.73052,187588.731792473
"BEL",577536933.283202,473746269.277074
"BLZ",1486299.8767946,2074300.10660255
"BEN",7281232.610704,10072279.7786099
"BMU",5776498.3365046,7191409.46824365
"BTN",1737872.449363,2246007.33418639
"BOL",26153184.516388,26588041.877001
"BIH",17370806.210025,24745735.1077093
"BWA",14067255.6633224,21090867.2720611
"BRA",1860449221.38833,2162622775.84672
"VGB",877777.8739669,1029194.78081717
"BRN",16810446.072258,13341624.4156804
"BGR",50296888.359325,57830316.3786185
"BFA",9054783.509225,11703731.9230634
"BDI",2530590.1553134,3054715.79963653
"KHM",13761313.212266,17396492.6430027
"CMR",28365687.692632,34306763.2305667
"CAN",1912908979.78411,1907018180.46977
"CPV",1719871.00608,2608397.08717987
"CYM",3336428.710855,3845962.72357184
"CAF",1412611.9740452,1862228.5977293
"TCD",7331523.756009,7834404.21151305
"CHL",238268048.696089,252658769.694382
"CHN",8816171622.45439,8572851482.29119
"COL",299633855.68755,342507261.923031
"COG",12642656.203051,12650363.5220801
"CRI",48392694.858885,53722832.5140341
"HRV",52078950.1704316,72429600.9837812
"CUB",66706053.2984933,81651609.8347744
"CYP",21718348.418029,32412851.7708165
"CZE",223191680.75553,210026966.327163
"CIV",27009449.705761,26083379.5683883
"PRK",10215416.786544,8234248.1669195
"COD",32729310.589741,40594567.7318487
"DNK",322036023.58,327003259.010805
"DJI",1355302.795567,1994441.49314252
"DOM",59046912.127776,71257768.0050042
"ECU",83971109.910204,85797150.4717935
"EGY",292985948.009803,314973998.702495
"SLV",24441453.929806,32593652.7700656
"ERI",3082201.3050995,3549955.26129536
"EST",21843265.08167,24351113.7121991
"ETH",18505195.3115612,3655833.90191284
"FJI",3695469.822186,5670762.20550257
"FIN",261067399.327493,252173733.612727
"FRA",2594254597.73179,2766685308.76846
"PYF",6487275.9330954,9422086.5002062
"GAB",20093166.506823,24469673.5594891
"GMB",1027784.777258,1335104.25656837
"GEO",13512673.2678075,18257441.5181635
"DEU",3680610845.03716,3335682715.16148
"GHA",43348835.900638,49276938.0893373
"GRC",227432146.774826,309139815.294893
"GRL",2608671.45549585,3541695.04102202
"GTM",55837184.290853,64312092.2266464
"GIN",6378164.8403312,7917054.72019055
"GUY",147965592.405234,307827830.669103
"HTI",8665275.057564,10132597.1412354
"HND",19286592.160429,24220610.4411499
"HKG",216933357.940338,529214571.152045
"HUN",127719670.293412,135284254.849881
"ISL",13925574.4167271,18522650.9022518
"IND",1737947728.55222,1861111700.92712
"IDN",928338480.67129,853849363.110543
"IRN",406359843.580324,420599094.452509
"IRQ",242902285.786703,243585917.160131
"IRL",213359495.276589,200794019.907168
"ISR",262265807.82383,285257204.31911
"ITA",2080487069.41216,2139055456.9399
"JAM",14063566.2123667,19371787.0941187
"JPN",5091343167.89123,5231842120.56515
"JOR",34026847.1020892,43487315.8915504
"KAZ",186888816.773811,185530668.759814
"KEN",47827927.0499659,58036818.7408567
"KWT",137507048.026176,120085146.15553
"KGZ",6599227.97544163,8418151.31966623
"LAO",9248454.136453,9036839.37375147
"LVA",27318485.679767,34561879.0415312
"LBN",41431766.994824,56839005.6503782
"LSO",2271268.227899,4259569.9591094
"LBR",1724648.380836,1888605.81319868
"LBY",45912717.592091,44860220.6887539
"LIE",5925998.5746169,6256684.2779197
"LTU",38342675.898529,46796011.5755191
"LUX",42712182.203319,68652504.7533931
"MAC",21747753.5787659,25421850.205179
"MDG",10235683.6403582,13288454.1277012
"MWI",5560650.816924,6719454.34722004
"MYS",372647656.083842,310701320.534301
"MDV",2484040.125454,3411399.57301887
"MLI",9867944.026333,13310674.7018149
"MLT",8700251.901427,11231095.5637971
"MRT",5538638.962302,6705295.61163686
"MUS",10269646.933578,14264591.3064817
"MEX",1276970075.72354,1279797277.02056
"MCO",6898215.195438,7140551.54483503
"MNG",8739901.569363,10309656.5100447
"MNE",3902705.539107,6618092.07215123
"MAR",109043032.124301,122386080.635554
"MOZ",15021937.0166535,17692590.1987058
"MMR",53664742.657506,49970536.1562089
"NAM",11617996.567965,15974385.3853451
"NPL",19415748.771369,23924166.4008833
"NLD",830897109.170789,776176279.749001
"ANT",3665212.88198113,5168819.4813593
"NCL",10757892.696837,12464400.8254785
"NZL",186093809.236125,174724322.602439
"NIC",10723819.9614609,13980215.0536022
"NER",7039432.961746,8590366.39521038
"NGA",334047598.715501,345003965.142743
"NOR",398976568.637152,417086817.436009
"PSE",11158616.13772,16182446.2323208
"OMN",76635197.245421,71400555.2732998
"PAK",240300042.596842,244512815.626377
"PAN",39068618.9604686,47670278.5568004
"PNG",16619928.148346,16413812.7776381
"PRY",25927560.544065,35855560.7284837
"PER",168870403.990264,198312116.311711
"PHL",310769508.748774,289659470.995091
"POL",473250970.367273,574083873.610087
"PRT",215735466.780373,265080670.220864
"QAT",181810422.799372,157658976.322965
"KOR",1029618527.88038,993309462.641936
"MDA",2622324.192836,155641.882140726
"ROU",174779687.47924,209035868.542138
"RUS",1778295637.63242,1886649227.25634
"RWA",6229816.701076,8138203.2418221
"WSM",805515.449874,860136.469722744
"SMR",1377635.203297,2817974.02703484
"STP",426064.096642,462254.659490012
"SAU",671475393.615814,733442574.834961
"SEN",21752226.065631,28369125.4963887
"SRB",41353919.080897,58614355.203158
"SYC",1502881.8826279,2804892.53454793
"SLE",3495107.039171,4714561.6270701
"SGP",303000989.051502,381472661.748134
"SVK",99297977.171237,126216817.728526
"SVN",49489798.077348,54805252.133846
"SOM",1013680.5435399,1439593.18236296
"ZAF",339363972.770918,384473949.807364
"SDS",13072807.1355013,12630819.2354965
"ESP",1363391872.72616,1492856613.26815
"LKA",74586327.330131,77930023.4525211
"SUD",56904762.571967,54746947.9020611
"SUR",4062551.463297,4809257.47383292
"SWZ",2649291.3145484,5270719.86435525
"SWE",525356582.385033,546264059.102222
"CHE",706852379.976206,686337276.82159
"SYR",56081732.201646,56511078.2164958
"TWN",287291148.398624,231869054.786912
"TJK",5867935.579013,8109728.31017704
"THA",499272443.029109,473041889.43336
"MKD",11453829.831747,14667503.1312007
"TGO",3709938.450413,5498271.74248773
"TTO",38296314.60833,21741460.0841275
"TUN",48461191.433023,63470886.5994606
"TUR",687087012.375166,844978544.46458
"TKM",24814915.6238664,33676832.0046418
"USR",18.939769,27902.8508117
"UGA",21414714.50936,27530477.3355721
"UKR",145581878.541328,185018216.38101
"ARE",409326135.067831,435275884.950045
"GBR",2537284013.77364,2842874128.41629
"TZA",5421144.79134134,13825125.399933
"USA",14105752735.9575,17004930188.1123
"URY",47430445.783702,58982912.9205445
"UZB",51995324.702794,57691947.9314487
"VUT",820055.688576,1072450.48350603
"VEN",412468075.202605,372418928.786409
"VNM",107842185.775205,153785582.027901
"YEM",39828124.884052,42762293.2977154
"ZMB",21820054.887341,23505503.9289967
"ZWE",7295866.8945349,2470837.03900825
"ROW",0,0
