"",Country,1990,1995,2000,2005,2010,2014
1,Afghanistan,25,25,24,24,28,31
2,Albania,25,23,24,31,41,47
3,Algeria,280,293,309,346,421,512
4,Argentina,488,533,608,634,770,915
5,Armenia,15,15,14,16,23,25
6,Australia,1333,1557,1900,2397,3105,3755
7,Austria,805,937,1077,1210,1330,1418
8,Bahrain,25,30,34,42,65,74
9,Bangladesh,53,66,91,130,190,259
10,Barbados,10,10,11,12,13,13
11,Belgium,875,1004,1148,1300,1478,1605
12,Belize,1,2,2,3,3,4
13,Benin,9,11,12,15,18,21
14,Bolivia (Plurinational State of),13,15,19,21,25,32
15,Botswana,8,13,18,25,35,47
16,Brazil,1899,2068,2316,2506,2904,3435
17,Bulgaria,48,46,49,66,99,114
18,Burundi,2,2,2,3,3,5
19,Cambodia,4,4,6,9,15,21
20,Cameroon,32,34,36,42,51,61
21,Canada,2010,2295,2686,3227,3899,4468
22,Central African Republic,4,4,4,4,4,4
23,Chile,91,129,186,248,352,465
24,China,1537,2365,3831,6445,11534,18000
25,Colombia,276,338,382,420,530,669
26,Congo,16,19,20,22,30,45
27,Costa Rica,23,29,37,46,60,75
28,Côte d’Ivoire,147,146,160,138,121,102
29,Croatia,94,95,110,135,170,183
30,Cuba,111,106,101,97,106,113
31,Cyprus,40,48,54,61,73,74
32,Czech Republic,383,418,483,558,659,719
33,Democratic Republic of the Congo,50,47,43,40,45,53
34,Denmark,519,583,693,809,933,997
35,Dominican Republic,47,58,84,107,140,164
36,Ecuador,88,99,106,121,145,180
37,Egypt,95,117,150,188,260,307
38,El Salvador,24,28,33,39,45,49
39,Estonia,31,31,35,46,59,68
40,Fiji,6,6,7,8,9,10
41,Finland,539,570,639,727,818,868
42,France,5152,5829,6548,7452,8404,9019
43,Gabon,42,42,45,47,50,55
44,Gambia,1,1,1,2,2,3
45,Germany,7209,8321,9384,10196,11045,11749
46,Ghana,30,32,36,43,59,84
47,Greece,579,616,693,812,940,906
48,Guatemala,42,48,59,70,82,90
49,Guyana,3,4,5,5,6,7
50,Haiti,8,9,11,15,17,20
51,Honduras,16,20,26,31,39,43
52,Hungary,288,301,332,385,437,462
53,Iceland,31,34,40,49,58,59
54,India,867,1141,1557,2241,3618,5049
55,Indonesia,310,485,660,811,1056,1343
56,Iran (Islamic Republic of),558,599,652,793,989,1096
57,Iraq,60,54,,48,56,77,112
58,Ireland,285,320,,419,580,736,799
59,Israel,203,270,,349,404,475,557
60,Italy,4493,5021,,5594,6326,6941,7072
61,Jamaica,34,40,,44,49,53,54
62,Japan,13360,16115,,18265,19606,20452,20939
63,Jordan,26,32,,37,43,55,65
64,Kazakhstan,259,284,,260,265,327,386
65,Kenya,34,38,,44,51,69,90
66,Kuwait,86,95,,107,127,192,248
67,Kyrgyzstan,9,9,,9,9,11,13
68,Lao People’s Democratic Republic,2,3,,5,7,13,20
69,Latvia,33,32,,35,47,64,73
70,Lesotho,4,5,,7,7,8,9
71,Liberia,3,3,,3,2,3,4
72,Lithuania,67,67,,70,79,97,108
73,Luxembourg,49,60,,76,96,118,136
74,Malawi,7,7,,7,8,10,11
75,Malaysia,134,234,,337,413,512,638
76,Maldives,1,1,,1,2,4,5
77,Mali,6,7,,9,11,14,16
78,Malta,7,9,,12,15,19,21
79,Mauritania,5,5,,5,7,10,17
80,Mauritius,7,10,,14,17,22,26
81,Mexico,1463,1724,,2065,2465,2973,3385
82,Mongolia,13,15,,16,18,19,27
83,Morocco,115,135,,163,204,275,335
84,Mozambique,5,6,,8,11,16,33
85,Myanmar,3,3,,5,9,23,51
86,Namibia,12,13,,15,18,25,35
87,Nepal,9,12,,16,20,26,31
88,Netherlands,1413,1616,,1915,2200,2501,2651
89,New Zealand,213,235,,275,338,401,458
90,Nicaragua,19,19,,21,23,26,31
91,Niger,12,11,,11,11,15,19
92,Nigeria,185,177,,171,168,216,265
93,Norway,688,730,,830,928,1091,1224
94,Pakistan,157,196,,231,265,315,339
95,Panama,18,22,,29,34,49,74
96,Papua New Guinea,7,8,,9,11,14,22
97,Paraguay,18,23,,26,27,31,36
98,Peru,153,166,,192,208,272,363
99,Philippines,181,212,,256,298,353,419
100,Poland,426,469,,615,740,962,1152
101,Portugal,402,477,595,703,781,784
102,Qatar,28,31,41,75,206,359
103,Republic of Korea,875,1562,2297,3081,3906,4548
104,Republic of Moldova,36,37,32,29,28,24
105,Romania,278,278,293,330,444,495
106,Russian Federation,3185,3466,3189,3127,3439,3774
107,Rwanda,3,3,4,4,7,11
108,Saudi Arabia,411,462,521,639,965,1328
109,Senegal,13,15,19,24,31,38
110,Serbia,63,62,64,71,90,101
111,Sierra Leone,2,3,2,3,4,6
112,Singapore,137,198,299,374,491,613
113,Slovakia,148,160,183,203,234,255
114,Slovenia,77,83,101,124,151,157
115,South Africa,477,497,543,613,766,895
116,Spain,2368,2763,3287,4103,4939,5167
117,Sri Lanka,35,42,52,64,86,113
118,Sudan (former),6,7,14,34,61,80
119,Swaziland,11,14,16,16,16,16
120,Sweden,954,1039,1158,1313,1515,1669
121,Switzerland,935,1340,1606,1714,1916,2054
122,Syrian Arab Republic,43,50,57,71,89,94
123,Tajikistan,13,13,12,11,10,10
124,Thailand,310,522,635,710,829,939
125,Togo,8,7,7,7,8,10
126,Trinidad and Tobago,50,47,48,53,54,52
127,Tunisia,66,76,89,104,123,136
128,Turkey,499,664,871,1053,1368,1683
129,Uganda,11,14,18,26,41,56
130,Ukraine,555,599,538,512,519,496
131,United Arab Emirates,282,318,363,427,591,743
132,United Kingdom,3826,4439,5347,6279,7115,7667
133,United Republic of Tanzania,12,21,28,40,66,95
134,United States of America,20669,24439,30540,37543,43404,47411
135,Uruguay,34,39,46,49,58,72
136,Venezuela (Bolivarian Republic of),496,520,539,546,651,739
137,Viet Nam,24,41,76,131,227,307
138,Yemen,16,19,25,33,48,58
139,Zambia,29,25,25,29,37,50
140,Zimbabwe,3,4,4,5,5,5
